es bueno que,it's good that
es importante que,it's important that
es malo que,it's bad that
es mejor que,it's better that
esperar que,to hope that
es posible que,it's possible that
es terrible que,it's terrible that
mandar que,to order that; to command that
ojalá que,I hope that; I wish that
preferir que,to prefer that
querer que,to want that
recomendar que,to recommend that
sentir que,to regret that/ to be sorry that
temer que,to fear that
desear que,to wish that
exigir que,to demand that
importa que,it matters that
